Item;Código;Descrição;Len;Livres;Alimentos;Alimentos in natura;Alimentos semi-elaborados;Alimentos industrializados;Serviços;Serviços - Subjacente;Serviços - Ex-Subjacente;Duráveis;Semi-duráveis;Não duráveis;Monitorados;Não comercializáveis;Comercializáveis;Núcleo EX0;Núcleo EX1;Núcleo EX2;Núcleo EX3;Bens Industriais;Ex AD e Monitorados;Subjacentes Ex AF;Sensíveis ao Ciclo;Bens Industriais Ex Vestuario e Auto;Combustíveis;Monitorados Ex Combustíveis;Automóveis;Sticky-prices
1104052.Chocolate e achocolatado em pó;1104052;Chocolate e achocolatado em pó;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1104060.Doce de frutas em pasta;1104060;Doce de frutas em pasta;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1104067.Açúcar demerara;1104067;Açúcar demerara;7;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
1105.Hortaliças e verduras;1105;Hortaliças e verduras;4;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1105001.Alface;1105001;Alface;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1105004.Coentro;1105004;Coentro;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1105005.Couve;1105005;Couve;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1105006.Couve-flor;1105006;Couve-flor;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1105010.Repolho;1105010;Repolho;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1105012.Cheiro-verde;1105012;Cheiro-verde;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1105019.Brócolis;1105019;Brócolis;7;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0
1106.Frutas;1106;Frutas;4;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
