data;codigo;var_mensal;var_mensal_15
01/10/2011;1;-2.41;-0.41
01/11/2011;1;0.63;-0.87
01/12/2011;1;-4.01;-1.82
01/01/2012;1;5.65;5.58
01/02/2012;1;1.32;2.48
01/03/2012;1;7.9;5.27
01/04/2012;1;-2.01;-1.27
01/05/2012;1;-4.99;-1.18
01/06/2012;1;-6.52;
01/07/2012;1;0.63;6.05
01/08/2012;1;-3.14;
01/09/2012;1;-3.23;0.61
01/10/2012;1;;
01/11/2012;1;;
01/12/2012;1;;
01/01/2013;1;;
01/02/2013;1;-0.12;1.97
01/03/2013;1;4.33;4.79
01/04/2013;1;1.71;3.91
01/05/2013;1;0.24;0.73
01/06/2013;1;3.79;3.61
01/07/2013;1;1.97;0.2
01/08/2013;1;0.7;0.72
01/09/2013;1;0.97;-0.95
01/10/2013;1;0.35;0.59
01/11/2013;1;0.44;0.52
01/12/2013;1;-11.48;-15.12
01/01/2014;1;-0.26;0.43
01/02/2014;1;0.79;-0.27
01/03/2014;1;-0.84;1.29
01/04/2014;1;0.11;-0.18
01/05/2014;1;-0.53;-1.85
01/06/2014;1;-0.87;-0.83
01/07/2014;1;-0.7;-0.19
01/08/2014;1;0.61;1.62
01/09/2014;1;0.17;0.29
01/10/2014;1;0.13;0.18
01/11/2014;1;0.3;1.03
01/12/2014;1;-0.85;-0.41
01/01/2015;1;0.84;0.66
01/02/2015;1;0.81;0.57
01/03/2015;1;0.64;0.28
01/04/2015;1;-0.5;1.74
01/05/2015;1;1.94;1.93
01/06/2015;1;-0.27;-0.52
01/07/2015;1;1.46;2.41
01/08/2015;1;0.16;-0.06
01/09/2015;1;1.12;3.31
01/10/2015;1;-1.67;-0.66
01/11/2015;1;-0.14;0.55
01/12/2015;1;-1.05;-0.5
01/01/2016;1;-3.78;-3.65
01/02/2016;1;0.48;-0.19
01/03/2016;1;-0.04;2.18
01/04/2016;1;-0.45;0.2
01/05/2016;1;-2.1;-0.25
01/06/2016;1;2.19;5.45
01/07/2016;1;-0.33;0.21
01/08/2016;1;-0.25;1.42
01/09/2016;1;-1.05;-1.36
01/10/2016;1;-0.47;-0.35
01/11/2016;1;0.42;0.96
01/12/2016;1;;
01/01/2017;1;-0.94;-0.3
01/02/2017;1;-0.78;1.05
01/03/2017;1;0.65;0.92
01/04/2017;1;-2;-1.1
01/05/2017;1;1.9;1.89
01/06/2017;1;-0.31;0.53
01/07/2017;1;1.12;1.56
01/08/2017;1;0.45;1.05
01/09/2017;1;2.15;1.22
01/10/2017;1;0.01;-0.71
01/11/2017;1;-0.16;-0.7
01/12/2017;1;1.22;3.67
01/01/2018;1;0.29;-0.18
01/02/2018;1;;
01/03/2018;1;0.46;0.22
01/04/2018;1;0.26;0.36
01/05/2018;1;;
01/06/2018;1;;
01/07/2018;1;0.75;0.74
01/08/2018;1;1.51;-0.16
01/09/2018;1;0.64;0.49
01/10/2018;1;-1.03;-1.2
01/11/2018;1;0.08;0.18
01/12/2018;1;-0.03;-0.07
01/01/2019;1;0.1;0.33
01/02/2019;1;0.3;0.11
01/03/2019;1;0.23;0.12
01/04/2019;1;-0.17;0.25
01/05/2019;1;0.63;0.55
01/06/2019;1;-0.32;0.010009479
01/07/2019;1;0.13;0.11
01/08/2019;1;0.17;1.48
01/09/2019;1;0.42;0.64
01/10/2019;1;0.73;0.73
01/11/2019;1;0.16;0.85
01/12/2019;1;0.96;1.05
01/01/2020;1;0.46;0.02
01/02/2020;1;1.44;1.47
01/03/2020;1;0.04;0.1
01/04/2020;1;1.15;1.23
01/05/2020;1;1.53;1.71
01/06/2020;1;0.13;0.13
01/07/2020;1;0.42;0.49
01/08/2020;1;1.6;1.08
01/09/2020;1;0.27;-0.22
01/10/2020;1;;
01/11/2020;1;0.84;
01/12/2020;1;2.57;1.1
01/01/2021;1;0.02;0.03
01/02/2021;1;;
01/03/2021;1;;
01/04/2021;1;0.38;0.38
01/05/2021;1;0.73;0.53
01/06/2021;1;0.26;-1.55
01/07/2021;1;;
01/08/2021;1;;
01/09/2021;1;-0.07;0.02
01/10/2021;1;0.03;0.02
01/11/2021;1;-0.93;-0.73
01/12/2021;1;;
01/01/2022;1;;-0.43
01/02/2010;2;1.92;1.11
01/03/2010;2;-0.23;0.05
01/04/2010;2;-0.3;-2.67
01/05/2010;2;0.51;-0.16
01/06/2010;2;-1.93;-0.23
01/07/2010;2;1.46;0.99
01/08/2010;2;-2.45;-1.23
01/09/2010;2;-4.35;5.08
01/10/2010;2;;
01/11/2010;2;0.37;7.66
01/12/2010;2;2.87;1.26
01/01/2011;2;0.69;1.2
01/02/2011;2;5.72;7.6
01/03/2011;2;6.25;-1.04
01/04/2011;2;;
01/05/2011;2;8.13;6.88
01/06/2011;2;7.72;1.72
01/07/2011;2;15.5;8.65
01/08/2011;2;12.59;16.8
01/09/2011;2;19.42;-0.14
01/10/2011;2;11.2;23.71
01/11/2011;2;0.42;-0.71
01/12/2011;2;-0.73;1.45
01/01/2012;2;2.43;0.76
01/02/2012;2;8.84;4.33
01/03/2012;2;10.89;
01/04/2012;2;-15.06;-5.9
01/05/2012;2;0.32;0.28
01/06/2012;2;6.8;3.57
01/07/2012;2;0.66;-0.01
01/08/2012;2;2.04;1.1
01/09/2012;2;3.41;-5.42
01/10/2012;2;;
01/11/2012;2;1.58;0.26
01/12/2012;2;-5.22;-12.42
01/01/2013;2;;
01/02/2013;2;0.88;0.88
01/03/2013;2;0.42;0.45
01/04/2013;2;1.95;0.58
01/05/2013;2;0.49;-0.48
01/06/2013;2;1.08;0.9
01/07/2013;2;0.87;1.47
01/08/2013;2;1.43;1.1
01/09/2013;2;-0.22;-0.26
01/10/2013;2;3.31;3.34
01/11/2013;2;0.27;0.31
01/12/2013;2;0.01;0.21
01/01/2014;2;-1.21;-0.68
01/02/2014;2;2.14;-0.56
01/03/2014;2;1.35;-0.7
01/04/2014;2;4.51;0.42
01/05/2014;2;0.71;0.62
01/06/2014;2;0.58;0.28
01/07/2014;2;2.63;1.13
01/08/2014;2;0.32;-1.14
01/09/2014;2;0.65;0.95
01/10/2014;2;1.29;0.3
01/11/2014;2;0.6;0.54
01/12/2014;2;0.46;0.46
01/01/2015;2;0.57;0.42
01/02/2015;2;-0.04;0.24
01/03/2015;2;0.99;1.15
01/04/2015;2;0.4;0.18
01/05/2015;2;-0.11;-0.1
01/06/2015;2;1.25;0.15
01/07/2015;2;-0.2;-1.53
01/08/2015;2;;
01/09/2015;2;1.12;0.46
01/10/2015;2;0.83;-0.05
01/11/2015;2;0.13;0.09
01/12/2015;2;-3.37;-2.31
01/01/2016;2;0.29;2.8
01/02/2016;2;1.23;0.64
01/03/2016;2;-0.52;-1.29
01/04/2016;2;-0.2;-0.04
01/05/2016;2;-0.71;0.41
01/06/2016;2;-0.52;-1.08
01/07/2016;2;0.02;-0.54
01/08/2016;2;0.19;-0.5
01/09/2016;2;0.27;-0.56
01/10/2016;2;-2.44;-3.19
01/11/2016;2;5.1;
01/12/2016;2;-0.02;
01/01/2017;2;0.75;0.53
01/02/2017;2;0.5;-0.63
01/03/2017;2;1.76;0.76
01/04/2017;2;0.22;0.54
01/05/2017;2;-0.38;-0.11
01/06/2017;2;0.18;0.71
01/07/2017;2;;1.41
01/08/2017;2;0.06;0.45
01/09/2017;2;1.02;0.52
01/10/2017;2;0.07;0.64
01/11/2017;2;0.89;1.26
01/12/2017;2;-0.89;-3.01
01/01/2018;2;1.61;1.61
01/02/2018;2;0.24;0.11
01/03/2018;2;;
01/04/2018;2;-0.87;-0.53
01/05/2018;2;-0.33;-0.3
01/06/2018;2;0.2;0.36
01/07/2018;2;0.53;0.92
01/08/2018;2;0.57;0.05
01/09/2018;2;0.03;0.1
01/10/2018;2;-0.86;0.5
01/11/2018;2;0.15;-1.49
01/12/2018;2;0.85;1.41
01/01/2019;2;-0.13;-0.1
01/02/2019;2;0.59;0.58
01/03/2019;2;1.09;1.12
01/04/2019;2;0.43;0.24
01/05/2019;2;-0.44;1.64
01/06/2019;2;0.68;0.7
01/07/2019;2;0.36;0.5
01/08/2019;2;0.310117887;0.388585894
01/09/2019;2;-0.36;0.56
01/10/2019;2;1.06;1.06
01/11/2019;2;0.5;-0.63
01/12/2019;2;0.14;-0.05
